,AscensionNum,AlignmentScore,Location
0,IVDC-HB-01,8106.0,Wuhan
1,WZ-02,8106.0,Zhejiang
2,WH03,8106.0,Wuhan
3,YC01,0.0,Chongqing
4,MA1,8105.0,USA
5,QLD04,8106.0,Australia
6,VB20024950-2,0.0,HongKong
7,LOM-ASST-CDG1,8105.0,Italy
8,CVR01,8105.0,Scotland
9,CA-CDPH-UC1,8102.0,USA
10,Rotterdam_1363790,8106.0,Netherlands
11,CruiseA-2,8106.0,USA
12,WF0002,8106.0,Weifang
13,GD2020233-P0027,8048.0,Guangdong
14,GDSZ202009-P0032,6513.0,Guangdong
15,CA-CDPH-UC8,8029.0,USA
16,CVR02,8106.0,Scotland
17,Limburg_6,7905.0,Netherlands
18,NoordBrabant_13,7904.0,Netherlands
19,CruiseA-24,8103.0,USA
20,BY-BIM-Pat3,8106.0,Germany
21,NoordBrabant_37,7903.0,Netherlands
22,Talca-1,8104.0,Chile
23,WA-UW34,8096.0,USA
24,FIN-266,8105.0,Finland
25,20099107406,7848.0,England
26,SH-03014,8104.0,Belgium
27,NA_17,8105.0,Netherlands
28,NA_9,8105.0,Netherlands
29,NoordBrabant_67,8105.0,Netherlands
30,BC_02421,8105.0,Canada
31,WA-UW41,8103.0,USA
32,CVR10,8104.0,Scotland
33,PHW37,8104.0,Wales
34,PHW29,7811.0,Wales
35,SSI-04,8103.0,Denmark
36,SH0029,8106.0,Shanghai
37,SH0055,8105.0,Shanghai
38,SH0091,7530.0,Shanghai
39,VIC05,8103.0,Australia
40,WA-UW82,8105.0,USA
41,WA-S8,7740.0,USA
42,PL_P1,8106.0,Poland
43,VIC08,8103.0,Australia
44,DP0104,8106.0,Japan
45,DP0357,8106.0,Japan
46,DP0763,8106.0,Japan
47,WA-UW110,8105.0,USA
48,OR-UW135,8105.0,USA
49,WA-UW160,8105.0,USA
50,WA-UW185,8104.0,USA
51,ARA-508,8103.0,France
52,ULG-3662,8104.0,Belgium
53,VB20017970-2,8106.0,HongKong
54,WA-S36,8103.0,USA
55,WA-S61,8103.0,USA
56,WA-S86,8103.0,USA
57,WA-S111,8103.0,USA
58,MN4-MDH4,7827.0,USA
59,20102112102,7746.0,England
60,20106005303,7865.0,England
61,20109050706,8105.0,England
62,20109097506,8105.0,England
63,CA-SCCPHD-UC14,8106.0,USA
64,WA-UW194,8102.0,USA
65,UN-UW219,8102.0,USA
66,NSW35,8105.0,Australia
67,DHWM-03041,8105.0,Belgium
68,WA-UW234,8103.0,USA
69,MN36-MDH36,8102.0,USA
70,MN53-MDH53,8104.0,USA
71,CGMH-CGU-11,8105.0,Taiwan
72,171,8104.0,Iceland
73,246,8104.0,Iceland
74,271,8104.0,Iceland
75,295,8104.0,Iceland
76,320,8105.0,Iceland
77,76,8081.0,Iceland
78,206,8104.0,Iceland
79,182,8101.0,Iceland
80,69,8105.0,Iceland
81,175,8104.0,Iceland
82,149,8105.0,Iceland
83,201,8104.0,Iceland
84,51,8105.0,Iceland
85,95,8105.0,Iceland
86,MG-0108,8103.0,Brazil
87,MD-HLP-H9-38,8105.0,Spain
88,PT0005,8104.0,Portugal
89,PT0029,8105.0,Portugal
90,CT-UW254,8105.0,USA
91,WA-UW279,8102.0,USA
92,PHWC-23AFA,7375.0,Wales
93,PHWC-23DE2,7729.0,Wales
94,PHWC-24024,8105.0,Wales
95,PHWC-242D3,8093.0,Wales
96,NY-NYUMC20,8003.0,USA
97,IDF-2420,8104.0,France
98,ABR-IZSGC-TE4925,8105.0,Italy
99,BL-UHB-42176753,8104.0,Switzerland
100,SHEF-BFF30,8105.0,England
101,ON-PHL-4464,8103.0,Canada
102,ON-PHL-3692,8104.0,Canada
103,13M19,8104.0,Finland
104,14M77,8104.0,Finland
105,BL-UHB-42177434,8104.0,Switzerland
106,D-NVRL-24042,8104.0,Ireland
107,ULG-9572,8105.0,Belgium
108,20119026102,8104.0,England
109,20124009602,8104.0,England
110,20124037902,7816.0,England
111,20126006402,7450.0,England
112,WA-NH2,8103.0,USA
113,VDLH-030548,8105.0,Belgium
114,BC_3972884,8103.0,Canada
115,BC_8150537,8102.0,Canada
116,WA-UW305,8102.0,USA
117,CT-UW331,8104.0,USA
118,WA-UW356,8105.0,USA
119,WA-UW383,8103.0,USA
120,NY-NYUMC28,8103.0,USA
121,18,8106.0,Singapore
122,ISR_JP0320,8106.0,Israel
123,PV-ISCIII-201493,8105.0,Spain
124,UGent-12,8104.0,Belgium
125,MN64-MDH64,8103.0,USA
126,PHWC-244BF,7445.0,Wales
127,PHWC-249ED,7481.0,Wales
128,PHWC-24B8D,7584.0,Wales
129,CT-Yale-013,7810.0,USA
130,CA-CDC-2602,8105.0,USA
131,LNS2907333,8103.0,Luxembourg
132,LNS9652104,8044.0,Luxembourg
133,CeMM0021,8105.0,Austria
134,NY-NYUMC40,7375.0,USA
135,VIC119,8105.0,Australia
136,VIC32,8104.0,Australia
137,VIC55,8103.0,Australia
138,VIC90,8104.0,Australia
139,VIC51,8104.0,Australia
140,VIC154,8104.0,Australia
141,VIC179,8104.0,Australia
142,VIC206,8105.0,Australia
143,VIC231,8104.0,Australia
144,VIC258,8105.0,Australia
145,VIC285,8104.0,Australia
146,VIC310,8105.0,Australia
147,VA-DCLS-0045,8103.0,USA
148,IDF-2989,8105.0,France
149,618,8106.0,Senegal
150,25,8104.0,Singapore
151,VC-FISABIO-43,8104.0,Spain
152,2090,8105.0,Norway
153,SHEF-C04A6,8104.0,England
154,SHEF-C045B,8105.0,England
155,SHEF-C0127,8104.0,England
156,SHEF-C01BE,8105.0,England
157,SHEF-C0646,8105.0,England
158,AK-PHL002,8105.0,USA
159,VGA-030672,8094.0,Belgium
160,LD-030597,8104.0,Belgium
161,MSE-0324121,8106.0,Belgium
162,DVG-0325146,8104.0,Belgium
163,VM-0325171,8104.0,Belgium
164,VF-030562,8105.0,Belgium
165,20128046202,8060.0,England
166,20132052902,7730.0,England
167,20139051302,7714.0,England
168,UN-2020781,8105.0,India
169,NY-NYUMC69,8105.0,USA
170,ARA-12915,8103.0,France
171,20136095604,7820.0,England
172,20139037504,7914.0,England
173,20139047604,7830.0,England
174,20139057504,8105.0,England
175,20139063504,8104.0,England
176,20142061304,7730.0,England
177,BA-ACH_2719,8105.0,SouthKorea
178,254,7837.0,DRC
179,BY-MVP-V2010837,8105.0,Germany
180,PHWC-24EFD,7964.0,Wales
181,PHWC-24CE4,7898.0,Wales
182,PHWC-2517B,7978.0,Wales
183,PHWC-25506,7992.0,Wales
184,ULG-10006,8104.0,Belgium
185,ULG-10043,8104.0,Belgium
186,JX177,8106.0,Nanchang
187,WI-UW-25,8105.0,USA
188,WI-UW-50,8103.0,USA
189,WI-UW-75,8105.0,USA
190,NY-PV08138,2.0,USA
191,NY-PV08427,8105.0,USA
192,NY-PV08464,2.0,USA
193,NY-PV09000,1.0,USA
194,PT0067,8104.0,Portugal
195,PT0092,8104.0,Portugal
196,VC-FISABIO-53,8106.0,Spain
197,NY-NYUMC79,8104.0,USA
198,NY-PV09041,1.0,USA
199,NY-PV09092,3.0,USA
200,UN-1644,8106.0,India
201,NY-NYUMC105,8104.0,USA
202,LNS6500589,8105.0,Luxembourg
203,201360185,7903.0,England
204,201380028,8103.0,England
205,201380215,7445.0,England
206,20138088104,7334.0,England
207,20139010404,7640.0,England
208,20139025404,7888.0,England
209,20139033404,8105.0,England
210,20144037304,8104.0,England
211,20146006904,7581.0,England
212,20146069704,7610.0,England
213,PHWC-263DE,8104.0,Wales
214,PHWC-26DEF,8106.0,Wales
215,PHWC-26E46,8103.0,Wales
216,PHWC-260B9,8082.0,Wales
217,PHWC-267B4,8034.0,Wales
218,PHWC-26C1F,8008.0,Wales
219,PHWC-269CD,8105.0,Wales
220,PHWC-268FD,7830.0,Wales
221,PHWC-25F80,7896.0,Wales
222,PHWC-266C6,7897.0,Wales
223,PHWC-25C98,7973.0,Wales
224,PHWC-25A34,7963.0,Wales
225,PHWC-26040,7831.0,Wales
226,PHWC-25DE0,7936.0,Wales
227,PHWC-26AF7,7361.0,Wales
228,NTU14,8105.0,Taiwan
229,WI-GMF-00744,8103.0,USA
230,NY-PV09138,1.0,USA
231,NY-PV09172,3.0,USA
232,NY-PV09305,1.0,USA
233,NA_273,7291.0,Netherlands
234,NA_300,8104.0,Netherlands
235,ZuidHolland_98,8105.0,Netherlands
236,NA_111,8105.0,Netherlands
237,NA_144,8104.0,Netherlands
238,NA_174,8103.0,Netherlands
239,NA_199,7856.0,Netherlands
240,NA_224,8104.0,Netherlands
241,NA_250,8104.0,Netherlands
242,NA_48,8104.0,Netherlands
243,NA_74,8104.0,Netherlands
244,NoordBrabant_100,8105.0,Netherlands
245,NoordBrabant_90,8104.0,Netherlands
246,ZuidHolland_37,8104.0,Netherlands
247,ZuidHolland_66,8105.0,Netherlands
248,ZuidHolland_92,7491.0,Netherlands
249,WA-UW-1300,8103.0,USA
250,WA-UW-1427,8086.0,USA
251,Drente_1,7858.0,Netherlands
252,20134004704,8056.0,England
253,20134016404,7594.0,England
254,20134021104,8105.0,England
255,20134027904,7870.0,England
256,20134071804,8095.0,England
257,201340854,7686.0,England
258,201360117,7424.0,England
259,201360201,8105.0,England
260,201360281,8103.0,England
261,20138017804,8023.0,England
262,20138026404,7773.0,England
263,20139002404,7304.0,England
264,20139070704,8102.0,England
265,20140009802,7823.0,England
266,20140071504,8105.0,England
267,20142018004,8104.0,England
268,20142082704,8104.0,England
269,20144004804,8099.0,England
270,20144021304,7918.0,England
271,20144037404,7532.0,England
272,20144074504,8105.0,England
273,20148006604,8104.0,England
274,20130035804,7527.0,England
275,20130061304,7749.0,England
276,20130071904,7383.0,England
277,20131102804,8034.0,England
